代码,晨星专属号,名称,类型,三年评级,五年评级,今年回报率
67708482723250176, 000143, 0P0000YRCF, 鹏华双债加利债券, 积极债券型, 5, 4, 6.09
67708490906337280, 420002, F00000049H, 天弘永利债券 - A, 普通债券型, 5, 5, 6.99
67708499093618688, 160513, 0P000136M4, 博时稳健回报债券(LOF) - A, 普通债券型, 5, 4, 6.02
67708506999881728, 160514, 0P000136M5, 博时稳健回报债券(LOF) - C, 普通债券型, 5, 3, 5.84
67708515220717568, 206003, 0P0000NR3I, 鹏华信用增利债券 - A, 普通债券型, 5, 5, 3.10
67708522497835008, 180025, 0P0000Q6RX, 银华信用双利债券 - A, 普通债券型, 5, 4, 2.31
67708530517344256, 180026, 0P0000Q6RY, 银华信用双利债券 - C, 普通债券型, 5, 4, 2.08
67708538775928832, 000997, 0P000157OH, 南方双元债券 - A, 普通债券型, 5, 3, 5.00
67708547063873536, 001945, 0P00016X97, 东方红信用债债券A, 普通债券型, 5, 5, 5.38
67708555280515072, 004597, 0P0001AHZN, 南方中证银行ETF联接A, 行业股票 - 金融地产, 5, 0, 4.56
67708562721210368, 002742, 0P00018VUW, 泓德裕祥债券A, 积极债券型, 5, 0, 5.79
67708570392592384, 420102, F00000049I, 天弘永利债券 - B, 普通债券型, 5, 5, 7.23
67708577250279424, 002794, 0P00017ZOB, 天弘永利债券 - E, 普通债券型, 5, 3, 7.23
67708584107966464, 002743, 0P00018VUX, 泓德裕祥债券C, 积极债券型, 5, 0, 5.60
67708590898544640, 160322, 0P00018SNI, 华夏港股通精选股票(LOF) A, 香港股票型基金, 5, 0, -3.97
67708598058221568, 001001, F020001001, 华夏债券 - A/B, 普通债券型, 5, 5, 3.83
67708605331144704, 001003, F0000003ZF, 华夏债券 - C, 普通债券型, 5, 5, 3.72
67708613556174848, 206004, 0P0000NR3J, 鹏华信用增利债券 - B, 普通债券型, 5, 5, 2.87
67708622355824640, 003426, 0P00018X1B, 江信添福债券C, 普通债券型, 5, 0, 2.90
67708632313102336, 675111, 0P00019NHG, 西部利得汇享债券A, 普通债券型, 5, 0, 4.21
67708642639478784, 675113, 0P00019NHH, 西部利得汇享债券C, 普通债券型, 5, 0, 4.16
67708738550628352, 233005, F0000004HY, 大摩强收益债券, 普通债券型, 5, 5, 2.96
67708746758881280, 002586, 0P00019HX9, 金鹰添利中长期信用债债券A, 普通债券型, 5, 0, 2.72
67708754782584832, 750002, 0P0000WUGM, 安信目标收益债券A, 普通债券型, 5, 5, 8.16
67708762634321920, 000998, 0P000157OI, 南方双元债券 - C, 普通债券型, 5, 3, 4.76
67708769953382400, 002587, 0P00019HXA, 金鹰添利中长期信用债债券C, 普通债券型, 5, 0, 2.65
67708777456992256, 206018, 0P0000XUIE, 鹏华产业债债券, 普通债券型, 5, 5, 3.64
67708784620863488, 004127, 0P00019GVL, 鹏华丰康债券, 信用债, 5, 0, 3.53
67708793038831616, 004441, 0P00019VTQ, 富荣富兴纯债债券, 信用债, 5, 0, 3.22
67708801230307328, 005846, 0P0001DCZB, 宝盈盈泰纯债债券A, 信用债, 5, 0, 3.14
67708809178513408, 002073, 0P0001755S, 圆信永丰兴融债券A, 信用债, 5, 5, 3.90
67708816917004288, 003837, 0P0001981E, 东方臻享纯债债券A, 纯债基金, 5, 0, 9.27
67708825376915456, 001776, 0P00016OWL, 中欧兴利债券A, 信用债, 5, 5, 4.10
